feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_dist_to_boundary,4975,-0.32640960862757284,7.646822311356543e-124,-0.37281331196064643,7.58142071881134e-164
mean_radius,4975,0.2664885776492923,1.1997251419421968e-81,0.31559309820038334,1.8143773122446464e-115
mean_pairwise_dist,4975,0.2313055067119007,2.0382472815521173e-61,0.2780074934148516,5.563527628236176e-89
fraction_near_boundary_0p15L,4975,0.23934416378390094,9.318563045179946e-66,0.26846791188218533,6.987825938104032e-83
fraction_near_boundary_0p1L,4975,0.21363804876907097,1.8845350077414875e-52,0.24114450176670707,9.435432258386333e-67
convex_hull_perimeter,4975,0.18915393534470448,2.687300496506185e-41,0.2253574362022237,2.600589503919188e-58
convex_hull_area,4975,0.16496391862449414,1.0944717291695989e-31,0.19196941064239667,1.6616945663718507e-42
min_dist_to_boundary,4975,-0.12997307834932736,3.4409242285727495e-20,-0.1409198096221959,1.7381805134275868e-23
nearest_neighbor_std,4975,0.14598600205714612,4.192127670302698e-25,0.13219481145872644,7.753340688426333e-21
min_pairwise_dist,4975,-0.11220204232930492,2.0695036901908676e-15,-0.105955074906374,6.751115279823462e-14
angular_gap_std,4975,0.12055155156187036,1.439151809213134e-17,0.09090030302704864,1.334191221622132e-10
std_radius,4975,-0.03433767658694424,0.015432450000149497,-0.07602576257142418,7.926209561469688e-08
max_angular_gap,4975,0.09356842169732195,3.7768545392083115e-11,0.06418694274649966,5.873958815179673e-06
anisotropy,4975,0.034400578654256254,0.015244921490242603,-0.0180505273839321,0.20303440380767748
nearest_neighbor_mean,4975,-0.03576947399428926,0.011631670911570385,-0.015199380750560057,0.2837825718520907
