rank,mean_J,min_pairwise_dist,fraction_near_boundary_0p1L,std_radius,anisotropy,mean_radius,angular_gap_std,max_angular_gap
1,0.105058791769953,0.11284092264635648,0.25,0.1330308229926313,3.6443370794439067,0.2854255488610235,0.3436568384120028,1.4096416345834548
2,0.1062725514060932,0.19495699379834633,0.125,0.12600955431445976,3.566907349504354,0.301393825406756,0.3972834436317772,1.3642545408523485
3,0.1087163228883963,0.10357305144300402,0.0,0.11707631021471102,1.5573317124085195,0.25929140443247195,0.5693391558341603,1.9155788513127945
4,0.1092249749775671,0.12479642087159325,0.375,0.1188896904611114,1.526529658200131,0.3036447521277159,0.40920850108782825,1.492391751550866
5,0.1096115185982163,0.08978446548369645,0.125,0.09646344375387475,2.12262512634816,0.2909773917267444,0.45338717686163416,1.4717009617620942
6,0.111449413798381,0.10881187288625345,0.375,0.15498901028465686,3.460122889775739,0.33782330041371544,0.5704273627654327,1.9693211903213887
7,0.1117095569359045,0.19865606758053037,0.125,0.11989399309200903,1.1404848790252071,0.3374480278369573,0.4340744419798478,1.3202190481955292
8,0.1118771794102928,0.09999329088622125,0.375,0.13242750759859132,2.3766743666084285,0.3189891497926813,0.5919837722360464,1.9342437892728528
9,0.1122223762823936,0.1370266953726449,0.25,0.14293131303233333,16.719368878017292,0.29367586470389345,0.6641591240187127,1.8913220970037194
10,0.1123809305316666,0.1676730528800153,0.125,0.13903034631606684,1.8662157451874075,0.30122246245152373,0.5333579233765192,1.730514815339383
