start_idx,generation,best_gen_J,median_gen_J,best_so_far_J,sigma,n_eval_total
1,1,0.09742787845016951,0.10631550124839866,0.09742787845016951,0.05527292222489331,13
1,2,0.09727711819534074,0.10674910170244105,0.09727711819534074,0.06024975357160371,25
1,3,0.09481764738102147,0.10379439479641206,0.09481764738102147,0.06243557055671779,37
1,4,0.09503969113895308,0.10099272877377716,0.09481764738102147,0.06337854546340511,49
1,5,0.09659907871099965,0.10982904159623988,0.09481764738102147,0.06437465607691177,61
1,6,0.09711522820855427,0.10874042772567119,0.09481764738102147,0.06799213238280961,73
1,7,0.09633762557229804,0.11007572844517524,0.09481764738102147,0.07561173698668887,85
1,8,0.10475079261833187,0.11444567856591972,0.09481764738102147,0.07936359529170811,97
1,9,0.09741130096926459,0.11545838015400692,0.09481764738102147,0.08367116931337248,109
1,10,0.09686204052320968,0.10830532383322788,0.09481764738102147,0.09530842820498596,121
2,1,0.09682146136602976,0.10329984294341887,0.09682146136602976,0.046825459415615694,13
2,2,0.09879840554579261,0.10598484917629103,0.09682146136602976,0.05024518578540243,25
2,3,0.09580787814302917,0.10288089785863551,0.09580787814302917,0.04977408511302292,37
2,4,0.09367496617621643,0.104731778947729,0.09367496617621643,0.05358232512447935,49
2,5,0.09632915153493893,0.1101360600800827,0.09367496617621643,0.05747706508320765,61
2,6,0.096263372677998,0.11237279851561348,0.09367496617621643,0.12326305176243657,73
2,7,0.1050242442922529,0.12654668313801026,0.09367496617621643,0.21345111475801584,85
2,8,0.10199151238728962,0.14622143599223109,0.09367496617621643,0.367044913184579,97
2,9,0.12676368387108078,0.3305914284213671,0.09367496617621643,0.6806764245814539,109
2,10,0.11362187499102262,0.9398939874093389,0.09367496617621643,1.00456870999336,121
2,11,0.1669326176432841,500000.8405171236,0.09367496617621643,1.717898881159571,133
3,1,0.09967836945610689,0.11412692176293632,0.09967836945610689,0.052502089043001215,13
3,2,0.10575904800432662,0.11280912433138895,0.09967836945610689,0.07330498322174032,25
3,3,0.10868716967588525,0.1261122550186557,0.09967836945610689,0.10364992982269286,37
3,4,0.10316192527357983,0.13971503186799594,0.09967836945610689,0.14623126646640047,49
3,5,0.10514968768449112,0.14624623407935555,0.09967836945610689,0.19042026451219188,61
3,6,0.10696094149759476,0.21666055836039944,0.09967836945610689,0.2544068741599539,73
3,7,0.12783982591728407,0.14859419708230637,0.09967836945610689,0.4629634147831303,85
3,8,0.13375074366542258,0.17084067563548827,0.09967836945610689,1.0323563484853022,97
4,1,0.10286579010345873,0.11281874518757394,0.10286579010345873,0.08355910915077921,13
4,2,0.1155012389568242,0.13929228147547207,0.10286579010345873,0.1454133835546828,25
4,3,0.10515004201268585,0.14182688859330284,0.10286579010345873,0.3616762095004932,37
4,4,0.13672923768772977,0.2033425256856773,0.10286579010345873,1.1639053365398917,49
4,5,0.16776935106329732,0.9248925055208177,0.10286579010345873,2.887879629203984,61
4,6,0.17600115293386218,0.938760354901172,0.10286579010345873,5.0690466444713635,73
4,7,0.1617151256536981,0.19513129596083484,0.10286579010345873,7.988649380934444,85
4,8,0.15991455006086552,0.4962169219303865,0.10286579010345873,10.53863892653642,97
5,1,0.10897874479910119,0.12263278820724396,0.10541459698932609,0.05370981564026709,13
5,2,0.11168466249742343,500000.0585396475,0.10541459698932609,0.05330414208957252,25
5,3,0.10937657354249172,0.12317242769626366,0.10541459698932609,0.06372143120546706,37
5,4,0.10370141310600743,0.1177520562332093,0.10370141310600743,0.07313246791722453,49
5,5,0.10568090798957122,0.12048185232072764,0.10370141310600743,0.13978536927635496,61
5,6,0.10784079703011928,0.12938532056436658,0.10370141310600743,0.246649540083718,73
5,7,0.12797769960063154,0.18949060787836522,0.10370141310600743,0.5719557116523911,85
5,8,0.10885972485106442,0.2053285722674661,0.10370141310600743,1.3261037218696803,97
5,9,0.16860884218000605,1.0186956716010735,0.10370141310600743,2.462867232990604,109
5,10,0.16751801378755862,0.18212962968656077,0.10370141310600743,3.8466785018153944,121
5,11,0.17821805649565906,1.1215416710701367,0.10370141310600743,5.17175103337007,133
