feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,hill_J_t,"(0.079, 0.1]",0.079,0.1,0.0895,1385,0.17555340171744013,0.04771424928780953,0.0012821038624663255
min_pairwise_dist,hill_J_t,"(0.1, 0.12]",0.1,0.12,0.11,1164,0.17123380184321416,0.0413516352883365,0.0012120378954399368
min_pairwise_dist,hill_J_t,"(0.12, 0.14]",0.12,0.14,0.13,935,0.1682796058571588,0.03815455476404583,0.0012477873675822888
min_pairwise_dist,hill_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,639,0.1664302633484821,0.03727895787002823,0.0014747327812243633
min_pairwise_dist,hill_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,431,0.16600920159001512,0.036989181341055735,0.001781706171713978
min_pairwise_dist,hill_J_t,"(0.18, 0.2]",0.18,0.2,0.19,221,0.16902007525452226,0.03854976886409306,0.002593138072972153
min_pairwise_dist,hill_J_t,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,110,0.17030367541936103,0.026970857364649888,0.0025715703497072636
min_pairwise_dist,hill_J_t,"(0.22, 0.24]",0.22,0.24,0.22999999999999998,54,0.16810481955339074,0.03689857252757342,0.005021259718312903
min_pairwise_dist,hill_J_t,"(0.24, 0.26]",0.24,0.26,0.25,30,0.16435618506784472,0.01693720888194375,0.0030922971219391484
